1011	1	0	0	CC 竞技场	12000	4294967295	0	1	100	3	150	16	5	5	120	5	20	15	90	10	10	4	3	4	1	2	5	3	1	0	0	20	5	BGM/BGM_RANK_BATTLE_2m.ogg	80	1	Battle_arena_001	101101	20	
1012	1	1	0	CC 竞技场	13000	4294967295	0	1	100	5	150	16	5	5	180	5	20	15	90	10	10	10	7	10	2	5	7	5	2	0	0	20	5	BGM/BGM_RANK_BATTLE_3m.ogg	80	1	Battle_arena_001	101201	30	
1021	1	0	0	红领巾军 训练场	43000	4294967295	0	1	100	3	150	16	5	5	120	5	20	15	90	10	10	4	3	4	1	2	5	3	1	0	0	20	5	BGM/BGM_RANKBATTLE_B_2m.ogg	80	1	Battle_arena_002	102101	20	
1022	1	1	0	红领巾军 训练场	44000	4294967295	0	1	100	5	150	16	5	5	180	5	20	15	90	10	10	10	7	10	2	5	7	5	2	0	0	20	5	BGM/BGM_RANKBATTLE_B_3m.ogg	80	1	Battle_arena_002	102201	30	
2032	1	1	1	恶魔的下水道	45000	4294967295	0	1	100	3	150	16	5	15	300	5	20	15	90	10	10	10	7	10	2	5	7	5	2	0	0	20	5	BGM/BGM_RANKBATTLE_B_2m.ogg	80	1	Battle_arena_003	203201	30	
9011	0	0	0	参加天下第一武道会 预赛个人战	30000	4294967295	0	0	100	1	150	5	5	5	300	4	15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	no sound	255	1	-1	4294967295	4294967295	
9012	0	1	0	参加天下第一武道会 预赛 组队	40000	4294967295	0	0	100	1	150	5	5	5	300	4	15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	no sound	255	1	-1	4294967295	4294967295	
9021	0	0	0	参加天下第一武道会 本赛个人战	31000	4294967295	0	0	100	3	150	25	5	5	180	4	15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	no sound	255	1	-1	4294967295	4294967295	
9022	0	1	0	参加天下第一武道会 本赛 组队	41000	4294967295	0	0	100	3	150	25	5	5	240	4	15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	no sound	255	1	-1	4294967295	4294967295	
9031	0	0	0	参加天下第一武道会 决赛个人战	32000	4294967295	0	0	100	5	150	25	5	5	180	4	15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	no sound	255	1	-1	4294967295	4294967295	
9032	0	1	0	参加天下第一武道会 决赛 组队	42000	4294967295	0	0	100	5	150	25	5	5	240	4	15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	no sound	255	1	-1	4294967295	4294967295	
